query,занятость,по должности-лемме,по дополнительному признаку,по условиям,общие фразы
подработка на легковом авто,['подработка'],NaN,NaN,NaN,0
подработка на личном автомобиле с ежедневной оплатой,['подработка'],NaN,NaN,с ежедневной оплатой,0
подработка раздача листовок,['подработка'],NaN,NaN,NaN,0
программист swift вакансии,NaN,программист,NaN,NaN,0
работа в надеждинском районе,NaN,NaN,NaN,NaN,1
работа в яндекс доставка,NaN,NaN,NaN,NaN,1
работа вип такси,NaN,NaN,NaN,NaN,1
работа водителем график 2 2,NaN,водитель,NaN,NaN,0
работа водителем категории вс,NaN,водитель,NaN,NaN,0
работа водителем межгород категории в,NaN,водитель,NaN,NaN,0
работа водителем на личном авто,NaN,водитель,NaN,NaN,0
работа водителем на личном грузовом автомобиле,NaN,водитель,NaN,NaN,0
работа водителем на своей машине,NaN,водитель,NaN,NaN,0
работа водителем свежие,NaN,водитель,NaN,NaN,0
работа водителем экспедиторомводитель экспедитор,NaN,водитель,NaN,NaN,0
работа для женщин пенсионеров,NaN,NaN,"['для женщин', 'для пенсионеров']",NaN,0
работа для кровельщиков,NaN,кровельщик,NaN,NaN,0
работа для подростков 15 лет москва,NaN,NaN,NaN,NaN,1
работа зоотехником,NaN,зоотехник,NaN,NaN,0
работа корень,NaN,NaN,NaN,NaN,1
работа курьером в яндексе,NaN,курьер,NaN,NaN,0
работа курьером со свободным графиком,NaN,курьер,NaN,NaN,0
работа механика,NaN,механик,NaN,NaN,0
работа на авто,NaN,NaN,NaN,NaN,1
работа на грузовой газели,NaN,NaN,NaN,NaN,1
работа на грузовом автомобиле такси,NaN,NaN,NaN,NaN,1
работа на личном грузовом авто,NaN,NaN,NaN,NaN,1
работа на личном грузовом авто 5,NaN,NaN,NaN,NaN,1
работа на своем авто вечером,NaN,NaN,NaN,NaN,1
работа на своем грузовом авто вакансии,NaN,NaN,NaN,NaN,1
работа оценщика,NaN,оценщик,NaN,NaN,0
работа перевозка грузов на своем авто,NaN,NaN,NaN,NaN,1
работа скб,NaN,NaN,NaN,NaN,1
работа со своим транспортом,NaN,NaN,NaN,NaN,1
работа токарем с обучением,NaN,токарь,NaN,NaN,0
работа учителем в школе,NaN,учитель,NaN,NaN,0
руководитель ит инфраструктуры,NaN,"руководитель, начальник",NaN,NaN,0
свежие вакансии комплектовщик,NaN,комплектовщик,NaN,NaN,0
свежие вакансии на сегодня водитель,NaN,водитель,NaN,NaN,0
сиделка с проживанием без посредников,NaN,сиделка,NaN,с проживанием,0
такси бизнес класса вакансии,NaN,NaN,NaN,NaN,1
требуется водитель категории b,NaN,водитель,NaN,NaN,0
удаленная работа вакансии,['удаленная'],NaN,NaN,NaN,0
фарпост владивосток работа,NaN,NaN,NaN,NaN,1
яндекс доставка работа зарплата,NaN,NaN,NaN,NaN,1
яндекс доставка устроиться на работу,NaN,NaN,NaN,NaN,1
яндекс работа курьером на авто,NaN,курьер,NaN,NaN,0
административный персонал вакансии,NaN,NaN,NaN,NaN,1
бизнес такси вакансии,NaN,NaN,NaN,NaN,1
вакансии комплектовщик вахта,['вахта'],комплектовщик,NaN,NaN,0
вакансии курьер водитель,NaN,курьер,NaN,NaN,0
вакансии курьер на авто компании,NaN,курьер,NaN,NaN,0
вакансии на авто компании,NaN,NaN,NaN,NaN,1
вакансии на машине компании,NaN,NaN,NaN,NaN,1
вакансии на своем авто,NaN,NaN,NaN,NaN,1
вакансии охрана окружающей среды,NaN,NaN,NaN,NaN,1
вакансия водитель на авто компании,NaN,водитель,NaN,NaN,0
вакансия водитель на своем авто,NaN,водитель,NaN,NaN,0
вакансия водитель сегодня,NaN,водитель,NaN,NaN,0
вакансия помощник,NaN,помощник,NaN,NaN,0
вакансия специалист экономической безопасности москва,NaN,специалист ахо,NaN,NaN,0
вк вакансии,NaN,NaN,NaN,NaN,1
водители в такси,NaN,водитель,NaN,NaN,0
водитель в,NaN,водитель,NaN,NaN,0
водитель инструктор,NaN,водитель,NaN,NaN,0
водитель кат б вакансии,NaN,водитель,NaN,NaN,0
водитель категории б на авто компании,NaN,водитель,NaN,NaN,0
водитель категория б,NaN,водитель,NaN,NaN,0
водитель категория б вакансии,NaN,водитель,NaN,NaN,0
